customer_name,customer_segment,region,state,city,product_name,category,sub_category,order_date,order_month,order_year,ship_date,ship_month,ship_year,delivery_time_in_days,ship_mode,sales,quantity,discount,discount_amount,cost,profit
Steve Nguyen,Home Office,Central,Texas,Houston,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Office Supplies,Envelopes,2012-12-27,12,2012,2012-12-31,12,2012,4,Standard Class,113.328,9,0.2,22.67,77.91,35.415
Steve Nguyen,Home Office,Central,Texas,Houston,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,Bookcases,2012-12-27,12,2012,2012-12-31,12,2012,4,Standard Class,532.3992,3,0.32,170.37,579.38,-46.9764
Steve Nguyen,Home Office,Central,Texas,Houston,"Global Fabric Manager's Chair, Dark Gray",Furniture,Chairs,2012-12-27,12,2012,2012-12-31,12,2012,4,Standard Class,212.058,3,0.3,63.62,227.2,-15.147
Steve Nguyen,Home Office,Central,Texas,Houston,Plantronics HL10 Handset Lifter,Technology,Phones,2012-12-27,12,2012,2012-12-31,12,2012,4,Standard Class,371.168,4,0.2,74.23,329.41,41.7564
Linda Cazamias,Corporate,Central,Illinois,Naperville,Panasonic Kx-TS550,Technology,Phones,2014-09-11,9,2014,2014-09-16,9,2014,5,Standard Class,147.168,4,0.2,29.43,130.61,16.5564
Ruben Ausman,Corporate,West,California,Los Angeles,"Eldon Base for stackable storage shelf, platinum",Office Supplies,Storage,2013-07-18,7,2013,2013-07-23,7,2013,5,Standard Class,77.88,2,0.0,0.0,73.99,3.894
Erin Smith,Corporate,South,Florida,Melbourne,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",Office Supplies,Storage,2014-09-20,9,2014,2014-09-24,9,2014,4,Standard Class,95.616,2,0.2,19.12,86.05,9.5616
Odella Nelson,Corporate,Central,Minnesota,Eagan,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Technology,Accessories,2013-03-12,3,2013,2013-03-14,3,2013,2,First Class,45.98,2,0.0,0.0,26.21,19.7714
Odella Nelson,Corporate,Central,Minnesota,Eagan,Wilson Jones Leather-Like Binders with DublLock Round Rings,Office Supplies,Binders,2013-03-12,3,2013,2013-03-14,3,2013,2,First Class,17.46,2,0.0,0.0,9.25,8.2062
Patrick O'Donnell,Consumer,Central,Michigan,Westland,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Office Supplies,Storage,2011-10-20,10,2011,2011-10-25,10,2011,5,Second Class,211.96,4,0.0,0.0,203.48,8.4784
Lena Hernandez,Consumer,East,Delaware,Dover,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Technology,Accessories,2013-06-21,6,2013,2013-06-26,6,2013,5,Standard Class,45.0,3,0.0,0.0,40.05,4.95
Lena Hernandez,Consumer,East,Delaware,Dover,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",Technology,Phones,2013-06-21,6,2013,2013-06-26,6,2013,5,Standard Class,21.8,2,0.0,0.0,15.7,6.104
Darren Powers,Consumer,Central,Indiana,New Albany,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Office Supplies,Binders,2012-04-18,4,2012,2012-04-22,4,2012,4,Standard Class,38.22,6,0.0,0.0,20.26,17.9634
Darren Powers,Consumer,Central,Indiana,New Albany,Avery 485,Office Supplies,Labels,2012-04-18,4,2012,2012-04-22,4,2012,4,Standard Class,75.18,6,0.0,0.0,39.85,35.3346
Darren Powers,Consumer,Central,Indiana,New Albany,Longer-Life Soft White Bulbs,Furniture,Furnishings,2012-04-18,4,2012,2012-04-22,4,2012,4,Standard Class,6.16,2,0.0,0.0,3.2,2.9568
Darren Powers,Consumer,Central,Indiana,New Albany,"Global Leather Task Chair, Black",Furniture,Chairs,2012-04-18,4,2012,2012-04-22,4,2012,4,Standard Class,89.99,1,0.0,0.0,72.89,17.0981
Janet Molinari,Corporate,East,New York,New York City,Advantus Push Pins,Office Supplies,Fasteners,2013-12-12,12,2013,2013-12-18,12,2013,6,Standard Class,15.26,7,0.0,0.0,9.0,6.2566
Janet Molinari,Corporate,East,New York,New York City,AT&T CL83451 4-Handset Telephone,Technology,Phones,2013-12-12,12,2013,2013-12-18,12,2013,6,Standard Class,1029.95,5,0.0,0.0,731.26,298.6855
Ted Butterfield,Consumer,East,New York,Troy,Home/Office Personal File Carts,Office Supplies,Storage,2013-06-18,6,2013,2013-06-19,6,2013,1,First Class,208.56,6,0.0,0.0,156.42,52.14
Ted Butterfield,Consumer,East,New York,Troy,Xerox 232,Office Supplies,Paper,2013-06-18,6,2013,2013-06-19,6,2013,1,First Class,32.4,5,0.0,0.0,16.85,15.552
Ted Butterfield,Consumer,East,New York,Troy,Novimex Turbo Task Chair,Furniture,Chairs,2013-06-18,6,2013,2013-06-19,6,2013,1,First Class,319.41,5,0.1,31.94,312.31,7.098
Ted Butterfield,Consumer,East,New York,Troy,"Array Parchment Paper, Assorted Colors",Office Supplies,Paper,2013-06-18,6,2013,2013-06-19,6,2013,1,First Class,14.56,2,0.0,0.0,7.57,6.9888
Ted Butterfield,Consumer,East,New York,Troy,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Technology,Accessories,2013-06-18,6,2013,2013-06-19,6,2013,1,First Class,30.0,2,0.0,0.0,26.7,3.3
Ted Butterfield,Consumer,East,New York,Troy,Plastic Binding Combs,Office Supplies,Binders,2013-06-18,6,2013,2013-06-19,6,2013,1,First Class,48.48,4,0.2,9.7,32.12,16.362
Ted Butterfield,Consumer,East,New York,Troy,Prang Dustless Chalk Sticks,Office Supplies,Art,2013-06-18,6,2013,2013-06-19,6,2013,1,First Class,1.68,1,0.0,0.0,0.84,0.84
Kunst Miller,Consumer,West,California,Los Angeles,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",Technology,Accessories,2012-11-24,11,2012,2012-11-30,11,2012,6,Standard Class,13.98,2,0.0,0.0,7.83,6.1512
Kunst Miller,Consumer,West,California,Los Angeles,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",Office Supplies,Binders,2012-11-24,11,2012,2012-11-30,11,2012,6,Standard Class,25.824,6,0.2,5.16,16.46,9.3612
Kunst Miller,Consumer,West,California,Los Angeles,Xerox 1943,Office Supplies,Paper,2012-11-24,11,2012,2012-11-30,11,2012,6,Standard Class,146.73,3,0.0,0.0,77.77,68.9631
Kunst Miller,Consumer,West,California,Los Angeles,Luxo Economy Swing Arm Lamp,Furniture,Furnishings,2012-11-24,11,2012,2012-11-30,11,2012,6,Standard Class,79.76,4,0.0,0.0,57.43,22.3328
Paul Stevenson,Home Office,Central,Illinois,Chicago,"Global Value Mid-Back Manager's Chair, Gray",Furniture,Chairs,2012-04-30,4,2012,2012-05-05,5,2012,5,Standard Class,213.115,5,0.3,63.93,228.34,-15.2225
Brendan Sweed,Corporate,West,Arizona,Gilbert,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",Office Supplies,Art,2011-12-05,12,2011,2011-12-10,12,2011,5,Standard Class,1113.024,8,0.2,222.6,1001.72,111.3024
Brendan Sweed,Corporate,West,Arizona,Gilbert,netTALK DUO VoIP Telephone Service,Technology,Phones,2011-12-05,12,2011,2011-12-10,12,2011,5,Standard Class,167.968,4,0.2,33.59,104.98,62.988
Karen Daniels,Consumer,South,Virginia,Springfield,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",Office Supplies,Paper,2013-06-05,6,2013,2013-06-07,6,2013,2,First Class,75.88,2,0.0,0.0,40.22,35.6636
Henry MacAllister,Consumer,East,New York,New York City,Avery Binding System Hidden Tab Executive Style Index Sets,Office Supplies,Binders,2013-09-19,9,2013,2013-09-24,9,2013,5,Standard Class,4.616,1,0.2,0.92,2.88,1.731
Tracy Blumstein,Consumer,Central,Michigan,Jackson,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Office Supplies,Paper,2014-09-15,9,2014,2014-09-18,9,2014,3,Second Class,19.05,3,0.0,0.0,10.29,8.763
Joel Eaton,Consumer,South,Tennessee,Memphis,High-Back Leather Manager's Chair,Furniture,Chairs,2012-04-26,4,2012,2012-05-02,5,2012,6,Standard Class,831.936,8,0.2,166.39,946.33,-114.3912
Joel Eaton,Consumer,South,Tennessee,Memphis,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",Furniture,Furnishings,2012-04-26,4,2012,2012-05-02,5,2012,6,Standard Class,97.04,2,0.2,19.41,95.83,1.213
Joel Eaton,Consumer,South,Tennessee,Memphis,Safco Industrial Wire Shelving System,Office Supplies,Storage,2012-04-26,4,2012,2012-05-02,5,2012,6,Standard Class,72.784,1,0.2,14.56,90.98,-18.196
Ken Brennan,Corporate,Central,Texas,Houston,Economy Binders,Office Supplies,Binders,2014-12-10,12,2014,2014-12-12,12,2014,2,First Class,1.248,3,0.8,1.0,3.18,-1.9344
Ken Brennan,Corporate,Central,Texas,Houston,"6"" Cubicle Wall Clock, Black",Furniture,Furnishings,2014-12-10,12,2014,2014-12-12,12,2014,2,First Class,9.708,3,0.6,5.82,15.53,-5.8248
Ken Brennan,Corporate,Central,Texas,Houston,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",Office Supplies,Storage,2014-12-10,12,2014,2014-12-12,12,2014,2,First Class,27.24,3,0.2,5.45,24.52,2.724
Joel Eaton,Consumer,Central,Texas,Houston,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Furniture,Furnishings,2011-11-26,11,2011,2011-12-01,12,2011,5,Second Class,19.3,5,0.6,11.58,33.78,-14.475
Stewart Carmichael,Corporate,South,Alabama,Decatur,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Office Supplies,Appliances,2013-06-13,6,2013,2013-06-16,6,2013,3,First Class,208.16,1,0.0,0.0,151.96,56.2032
Stewart Carmichael,Corporate,South,Alabama,Decatur,Avery Heavy-Duty EZD  Binder With Locking Rings,Office Supplies,Binders,2013-06-13,6,2013,2013-06-16,6,2013,3,First Class,16.74,3,0.0,0.0,8.7,8.0352
Duane Noonan,Consumer,West,California,San Francisco,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",Office Supplies,Art,2011-10-12,10,2011,2011-10-16,10,2011,4,Standard Class,14.9,5,0.0,0.0,10.73,4.172
Duane Noonan,Consumer,West,California,San Francisco,"Sortfiler Multipurpose Personal File Organizer, Black",Office Supplies,Storage,2011-10-12,10,2011,2011-10-16,10,2011,4,Standard Class,21.39,1,0.0,0.0,15.19,6.2031
Julie Creighton,Corporate,South,North Carolina,Durham,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,Office Supplies,Envelopes,2012-09-03,9,2012,2012-09-08,9,2012,5,Standard Class,200.984,7,0.2,40.2,138.18,62.8075
Christopher Schild,Home Office,Central,Illinois,Chicago,Safco Industrial Wire Shelving,Office Supplies,Storage,2014-11-14,11,2014,2014-11-17,11,2014,3,First Class,230.376,3,0.2,46.08,279.33,-48.9549
Patrick O'Donnell,Consumer,South,South Carolina,Columbia,Novimex Swivel Fabric Task Chair,Furniture,Chairs,2014-05-29,5,2014,2014-05-31,5,2014,2,Second Class,301.96,2,0.0,0.0,268.74,33.2156
Paul Gonzalez,Consumer,Central,Minnesota,Rochester,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,Technology,Accessories,2014-10-27,10,2014,2014-11-03,11,2014,7,Standard Class,19.99,1,0.0,0.0,13.19,6.7966
Paul Gonzalez,Consumer,Central,Minnesota,Rochester,Avery 511,Office Supplies,Labels,2014-10-27,10,2014,2014-11-03,11,2014,7,Standard Class,6.16,2,0.0,0.0,3.2,2.9568
Gary Mitchum,Home Office,Central,Texas,Houston,Eldon Portable Mobile Manager,Office Supplies,Storage,2013-04-06,4,2013,2013-04-11,4,2013,5,Second Class,158.368,7,0.2,31.67,144.51,13.8572
Jim Sink,Corporate,West,California,Los Angeles,Turquoise Lead Holder with Pocket Clip,Office Supplies,Art,2013-09-18,9,2013,2013-09-23,9,2013,5,Standard Class,20.1,3,0.0,0.0,13.47,6.633
Jim Sink,Corporate,West,California,Los Angeles,Panasonic Kx-TS550,Technology,Phones,2013-09-18,9,2013,2013-09-23,9,2013,5,Standard Class,73.584,2,0.2,14.72,65.31,8.2782
Jim Sink,Corporate,West,California,Los Angeles,Xerox 1995,Office Supplies,Paper,2013-09-18,9,2013,2013-09-23,9,2013,5,Standard Class,6.48,1,0.0,0.0,3.37,3.1104
Karl Braun,Consumer,Central,Minnesota,Minneapolis,Xerox 1999,Office Supplies,Paper,2012-01-31,1,2012,2012-02-05,2,2012,5,Second Class,12.96,2,0.0,0.0,6.74,6.2208
Karl Braun,Consumer,Central,Minnesota,Minneapolis,"Seth Thomas 13 1/2"" Wall Clock",Furniture,Furnishings,2012-01-31,1,2012,2012-02-05,2,2012,5,Second Class,53.34,3,0.0,0.0,36.8,16.5354
Karl Braun,Consumer,Central,Minnesota,Minneapolis,Ibico Standard Transparent Covers,Office Supplies,Binders,2012-01-31,1,2012,2012-02-05,2,2012,5,Second Class,32.96,2,0.0,0.0,16.81,16.1504
Roger Barcio,Home Office,West,Oregon,Portland,Flexible Leather- Look Classic Collection Ring Binder,Office Supplies,Binders,2014-11-07,11,2014,2014-11-13,11,2014,6,Standard Class,5.682,1,0.7,3.98,9.47,-3.788
Parhena Norris,Home Office,East,New York,New York City,9-3/4 Diameter Round Wall Clock,Furniture,Furnishings,2014-11-10,11,2014,2014-11-12,11,2014,2,Second Class,96.53,7,0.0,0.0,55.99,40.5426
Katherine Ducich,Consumer,West,California,San Francisco,Trimflex Flexible Post Binders,Office Supplies,Binders,2014-06-18,6,2014,2014-06-21,6,2014,3,First Class,51.312,3,0.2,10.26,33.35,17.9592
Elpida Rittenbach,Corporate,Central,Minnesota,Saint Paul,Fellowes Basic Home/Office Series Surge Protectors,Office Supplies,Appliances,2013-09-07,9,2013,2013-09-12,9,2013,5,Standard Class,77.88,6,0.0,0.0,55.29,22.5852
Rick Bensley,Home Office,Central,Illinois,Chicago,Avery Personal Creations Heavyweight Cards,Office Supplies,Paper,2013-08-30,8,2013,2013-09-03,9,2013,4,Standard Class,64.624,7,0.2,12.92,42.01,22.6184
Rick Bensley,Home Office,Central,Illinois,Chicago,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,Technology,Accessories,2013-08-30,8,2013,2013-09-03,9,2013,4,Standard Class,95.976,3,0.2,19.2,106.77,-10.7973
Rick Bensley,Home Office,Central,Illinois,Chicago,Avery Hidden Tab Dividers for Binding Systems,Office Supplies,Binders,2013-08-30,8,2013,2013-09-03,9,2013,4,Standard Class,1.788,3,0.8,1.43,4.83,-3.0396
Gary Zandusky,Consumer,Central,Minnesota,Rochester,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),Office Supplies,Paper,2013-12-02,12,2013,2013-12-05,12,2013,3,Second Class,23.92,4,0.0,0.0,12.2,11.7208
Lena Cacioppo,Consumer,West,Colorado,Aurora,Logitech K350 2.4Ghz Wireless Keyboard,Technology,Accessories,2012-11-13,11,2012,2012-11-17,11,2012,4,Standard Class,238.896,6,0.2,47.78,265.77,-26.8758
Lena Cacioppo,Consumer,West,Colorado,Aurora,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",Furniture,Furnishings,2012-11-13,11,2012,2012-11-17,11,2012,4,Standard Class,102.36,3,0.2,20.47,106.2,-3.8385
Lena Cacioppo,Consumer,West,Colorado,Aurora,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",Office Supplies,Binders,2012-11-13,11,2012,2012-11-17,11,2012,4,Standard Class,36.882,3,0.7,25.82,62.7,-25.8174
Janet Martin,Consumer,South,North Carolina,Charlotte,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,Technology,Accessories,2014-11-24,11,2014,2014-11-29,11,2014,5,Standard Class,74.112,8,0.2,14.82,56.51,17.6016
Janet Martin,Consumer,South,North Carolina,Charlotte,Speck Products Candyshell Flip Case,Technology,Phones,2014-11-24,11,2014,2014-11-29,11,2014,5,Standard Class,27.992,1,0.2,5.6,25.89,2.0994
Janet Martin,Consumer,South,North Carolina,Charlotte,Newell Chalk Holder,Office Supplies,Art,2014-11-24,11,2014,2014-11-29,11,2014,5,Standard Class,3.304,1,0.2,0.66,2.23,1.0738
Pete Armstrong,Home Office,Central,Illinois,Orland Park,Logitech Gaming G510s - Keyboard,Technology,Accessories,2012-10-15,10,2012,2012-10-20,10,2012,5,Standard Class,339.96,5,0.2,67.99,271.97,67.992
Cynthia Voltz,Corporate,East,New York,New York City,Magnifier Swing Arm Lamp,Furniture,Furnishings,2014-12-26,12,2014,2014-12-31,12,2014,5,Standard Class,41.96,2,0.0,0.0,31.05,10.9096
Clay Ludtke,Consumer,Central,Iowa,Urbandale,"Hunt PowerHouse Electric Pencil Sharpener, Blue",Office Supplies,Art,2013-11-04,11,2013,2013-11-11,11,2013,7,Standard Class,75.96,2,0.0,0.0,53.17,22.788
Clay Ludtke,Consumer,Central,Iowa,Urbandale,"Avery Durable Plastic 1"" Binders",Office Supplies,Binders,2013-11-04,11,2013,2013-11-11,11,2013,7,Standard Class,27.24,6,0.0,0.0,13.89,13.3476
Ryan Crowe,Consumer,East,Ohio,Columbus,"OIC Colored Binder Clips, Assorted Sizes",Office Supplies,Fasteners,2011-08-25,8,2011,2011-08-27,8,2011,2,Second Class,40.096,14,0.2,8.02,25.56,14.5348
Ryan Crowe,Consumer,East,Ohio,Columbus,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",Office Supplies,Envelopes,2011-08-25,8,2011,2011-08-27,8,2011,2,Second Class,4.72,2,0.2,0.94,3.07,1.652
Ryan Crowe,Consumer,East,Ohio,Columbus,Xerox 1921,Office Supplies,Paper,2011-08-25,8,2011,2011-08-27,8,2011,2,Second Class,23.976,3,0.2,4.8,16.48,7.4925
Ryan Crowe,Consumer,East,Ohio,Columbus,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",Office Supplies,Envelopes,2011-08-25,8,2011,2011-08-27,8,2011,2,Second Class,130.464,6,0.2,26.09,86.43,44.0316
Dave Kipp,Consumer,West,Washington,Seattle,Hon Racetrack Conference Tables,Furniture,Tables,2012-03-02,3,2012,2012-03-06,3,2012,4,Standard Class,787.53,3,0.0,0.0,622.15,165.3813
Greg Guthrie,Corporate,South,Tennessee,Bristol,GBC DocuBind 300 Electric Binding Machine,Office Supplies,Binders,2012-04-05,4,2012,2012-04-10,4,2012,5,Standard Class,157.794,1,0.7,110.46,273.51,-115.7156
Steven Cartwright,Consumer,East,Delaware,Wilmington,Artistic Insta-Plaque,Furniture,Furnishings,2013-06-13,6,2013,2013-06-16,6,2013,3,First Class,47.04,3,0.0,0.0,28.69,18.3456
Steven Cartwright,Consumer,East,Delaware,Wilmington,DXL Angle-View Binders with Locking Rings by Samsill,Office Supplies,Binders,2013-06-13,6,2013,2013-06-16,6,2013,3,First Class,30.84,4,0.0,0.0,16.96,13.878
